Entity,Code,Date,Total confirmed deaths due to COVID-19 per million people,Total confirmed deaths due to COVID-19 per million people Annotations
Afghanistan,AFG,2019-12-31,0,
Afghanistan,AFG,2020-01-01,0,
Afghanistan,AFG,2020-01-02,0,
Afghanistan,AFG,2020-01-03,0,
Afghanistan,AFG,2020-01-04,0,
Afghanistan,AFG,2020-01-05,0,
Afghanistan,AFG,2020-01-06,0,
Afghanistan,AFG,2020-01-07,0,
Afghanistan,AFG,2020-01-08,0,
Afghanistan,AFG,2020-01-09,0,
Afghanistan,AFG,2020-01-10,0,
Afghanistan,AFG,2020-01-11,0,
Afghanistan,AFG,2020-01-12,0,
Afghanistan,AFG,2020-01-13,0,
Afghanistan,AFG,2020-01-14,0,
Afghanistan,AFG,2020-01-15,0,
Afghanistan,AFG,2020-01-16,0,
Afghanistan,AFG,2020-01-17,0,
Afghanistan,AFG,2020-01-18,0,
Afghanistan,AFG,2020-01-19,0,
Afghanistan,AFG,2020-01-20,0,
Afghanistan,AFG,2020-01-21,0,
Afghanistan,AFG,2020-01-22,0,
Afghanistan,AFG,2020-01-23,0,
Afghanistan,AFG,2020-01-24,0,
Afghanistan,AFG,2020-01-25,0,
Afghanistan,AFG,2020-01-26,0,
Afghanistan,AFG,2020-01-27,0,
Afghanistan,AFG,2020-01-28,0,
Afghanistan,AFG,2020-01-29,0,
Afghanistan,AFG,2020-01-30,0,
Afghanistan,AFG,2020-01-31,0,
Afghanistan,AFG,2020-02-01,0,
Afghanistan,AFG,2020-02-02,0,
Afghanistan,AFG,2020-02-03,0,
Afghanistan,AFG,2020-02-04,0,
Afghanistan,AFG,2020-02-05,0,
Afghanistan,AFG,2020-02-06,0,
Afghanistan,AFG,2020-02-07,0,
Afghanistan,AFG,2020-02-08,0,
Afghanistan,AFG,2020-02-09,0,
Afghanistan,AFG,2020-02-10,0,
Afghanistan,AFG,2020-02-11,0,
Afghanistan,AFG,2020-02-12,0,
Afghanistan,AFG,2020-02-13,0,
Afghanistan,AFG,2020-02-14,0,
Afghanistan,AFG,2020-02-15,0,
Afghanistan,AFG,2020-02-16,0,
Afghanistan,AFG,2020-02-17,0,
Afghanistan,AFG,2020-02-18,0,
Afghanistan,AFG,2020-02-19,0,
Afghanistan,AFG,2020-02-20,0,
Afghanistan,AFG,2020-02-21,0,
Afghanistan,AFG,2020-02-22,0,
Afghanistan,AFG,2020-02-23,0,
Afghanistan,AFG,2020-02-24,0,
Afghanistan,AFG,2020-02-25,0,
Afghanistan,AFG,2020-02-26,0,
Afghanistan,AFG,2020-02-27,0,
Afghanistan,AFG,2020-02-28,0,
Afghanistan,AFG,2020-02-29,0,
Afghanistan,AFG,2020-03-01,0,
Afghanistan,AFG,2020-03-02,0,
Afghanistan,AFG,2020-03-08,0,
Afghanistan,AFG,2020-03-11,0,
Afghanistan,AFG,2020-03-15,0,
Afghanistan,AFG,2020-03-16,0,
Afghanistan,AFG,2020-03-17,0,
Afghanistan,AFG,2020-03-18,0,
Afghanistan,AFG,2020-03-19,0,
Afghanistan,AFG,2020-03-20,0,
Afghanistan,AFG,2020-03-21,0,
Afghanistan,AFG,2020-03-22,0,
Afghanistan,AFG,2020-03-23,0,
Afghanistan,AFG,2020-03-24,0.026,
Afghanistan,AFG,2020-03-25,0.026,
Afghanistan,AFG,2020-03-26,0.026,
Afghanistan,AFG,2020-03-27,0.026,
Afghanistan,AFG,2020-03-28,0.051,
Afghanistan,AFG,2020-03-29,0.077,
Afghanistan,AFG,2020-03-30,0.103,
Afghanistan,AFG,2020-03-31,0.103,
Afghanistan,AFG,2020-04-01,0.103,
Afghanistan,AFG,2020-04-02,0.103,
Afghanistan,AFG,2020-04-03,0.103,
Afghanistan,AFG,2020-04-04,0.103,
Afghanistan,AFG,2020-04-05,0.128,
Afghanistan,AFG,2020-04-06,0.18,
Afghanistan,AFG,2020-04-07,0.18,
Afghanistan,AFG,2020-04-08,0.283,
Afghanistan,AFG,2020-04-09,0.36,
Afghanistan,AFG,2020-04-10,0.385,
Afghanistan,AFG,2020-04-11,0.385,
Afghanistan,AFG,2020-04-12,0.462,
Afghanistan,AFG,2020-04-13,0.462,
Afghanistan,AFG,2020-04-14,0.539,
Afghanistan,AFG,2020-04-15,0.591,
Afghanistan,AFG,2020-04-16,0.642,
Afghanistan,AFG,2020-04-17,0.745,
Afghanistan,AFG,2020-04-18,0.771,
Afghanistan,AFG,2020-04-19,0.771,
Afghanistan,AFG,2020-04-20,0.848,
Afghanistan,AFG,2020-04-21,0.899,
Afghanistan,AFG,2020-04-22,0.925,
Afghanistan,AFG,2020-04-23,1.028,
Afghanistan,AFG,2020-04-24,1.079,
Afghanistan,AFG,2020-04-25,1.105,
Afghanistan,AFG,2020-04-26,1.207,
Afghanistan,AFG,2020-04-27,1.464,
Afghanistan,AFG,2020-04-28,1.464,
Afghanistan,AFG,2020-04-29,1.541,
Afghanistan,AFG,2020-04-30,1.541,
Afghanistan,AFG,2020-05-01,1.644,
Afghanistan,AFG,2020-05-02,1.747,
Afghanistan,AFG,2020-05-03,1.85,
Afghanistan,AFG,2020-05-04,2.183,
Afghanistan,AFG,2020-05-05,2.312,
Afghanistan,AFG,2020-05-06,2.44,
Afghanistan,AFG,2020-05-07,2.672,
Afghanistan,AFG,2020-05-08,2.723,
Afghanistan,AFG,2020-05-09,2.8,
Afghanistan,AFG,2020-05-10,2.954,
Afghanistan,AFG,2020-05-11,3.083,
Afghanistan,AFG,2020-05-12,3.134,
Afghanistan,AFG,2020-05-13,3.262,
Afghanistan,AFG,2020-05-14,3.339,
Afghanistan,AFG,2020-05-15,3.494,
Afghanistan,AFG,2020-05-16,4.316,
Afghanistan,AFG,2020-05-17,4.316,
Afghanistan,AFG,2020-05-18,4.341,
Afghanistan,AFG,2020-05-19,4.444,
Afghanistan,AFG,2020-05-20,4.573,
Afghanistan,AFG,2020-05-21,4.804,
Afghanistan,AFG,2020-05-22,4.958,
Afghanistan,AFG,2020-05-23,5.266,
Afghanistan,AFG,2020-05-24,5.549,
Afghanistan,AFG,2020-05-25,5.6,
Afghanistan,AFG,2020-05-26,5.626,
Afghanistan,AFG,2020-05-27,5.651,
Afghanistan,AFG,2020-05-28,5.831,
Afghanistan,AFG,2020-05-29,6.037,
Afghanistan,AFG,2020-05-30,6.319,
Afghanistan,AFG,2020-05-31,6.396,
Afghanistan,AFG,2020-06-01,6.602,
Afghanistan,AFG,2020-06-02,6.807,
Afghanistan,AFG,2020-06-03,6.936,
Afghanistan,AFG,2020-06-04,7.552,
Afghanistan,AFG,2020-06-05,7.706,
Afghanistan,AFG,2020-06-06,7.938,
Afghanistan,AFG,2020-06-07,8.4,
Afghanistan,AFG,2020-06-08,9.171,
Afghanistan,AFG,2020-06-09,9.479,
Afghanistan,AFG,2020-06-10,9.864,
Afghanistan,AFG,2020-06-11,10.404,
Afghanistan,AFG,2020-06-12,10.943,
Afghanistan,AFG,2020-06-13,11.457,
Afghanistan,AFG,2020-06-14,11.585,
Afghanistan,AFG,2020-06-15,12.099,
Afghanistan,AFG,2020-06-16,12.279,
Afghanistan,AFG,2020-06-17,12.613,
Afghanistan,AFG,2020-06-18,12.947,
Afghanistan,AFG,2020-06-19,14.026,
Afghanistan,AFG,2020-06-20,14.077,
Afghanistan,AFG,2020-06-21,14.617,
Afghanistan,AFG,2020-06-22,14.925,
Afghanistan,AFG,2020-06-23,15.362,
Afghanistan,AFG,2020-06-24,15.875,
Afghanistan,AFG,2020-06-25,16.415,
Afghanistan,AFG,2020-06-26,17.34,
Afghanistan,AFG,2020-06-27,17.545,
Afghanistan,AFG,2020-06-28,18.059,
Afghanistan,AFG,2020-06-29,18.521,
Afghanistan,AFG,2020-06-30,18.829,
Afghanistan,AFG,2020-07-01,19.163,
Afghanistan,AFG,2020-07-02,19.883,
Afghanistan,AFG,2020-07-03,20.73,
Afghanistan,AFG,2020-07-04,21.039,
Afghanistan,AFG,2020-07-05,21.218,
Afghanistan,AFG,2020-07-06,22.195,
Afghanistan,AFG,2020-07-07,23.633,
Afghanistan,AFG,2020-07-08,24.044,
Afghanistan,AFG,2020-07-09,24.07,
Afghanistan,AFG,2020-07-10,24.584,
Afghanistan,AFG,2020-07-11,25.534,
Afghanistan,AFG,2020-07-12,25.945,
Afghanistan,AFG,2020-07-13,25.945,
Afghanistan,AFG,2020-07-14,25.996,
Afghanistan,AFG,2020-07-15,26.844,
Afghanistan,AFG,2020-07-16,28.103,
Afghanistan,AFG,2020-07-17,28.642,
